epoch,train_loss,val_acc,val_ndcg@5,val_ndcg@10,val_ndcg@20,val_spearman,monitor,lr,lambda_ce,max_pairs_per_group,dropout
119,0.07136239779772491,0.2951,0.9821678112721227,0.9591724276215243,0.9630314825601192,0.8960737332382465,0.9276230804298854,0.0003,0.33,128,0.3
120,0.07048011183719854,0.290575,0.9890662435406382,0.9636490381408521,0.9660597383034393,0.8961686952951541,0.9299088667180031,0.0003,0.33,128,0.3
121,0.07145848845106552,0.287025,0.9890662435406382,0.9691702234287178,0.9669052429012999,0.8964635880744825,0.9328169057516001,0.0003,0.33,128,0.3
122,0.07221049147975793,0.2948,0.9890662435406382,0.9697626983157988,0.9702529929000173,0.895988848384764,0.9328757733502814,0.0003,0.33,128,0.3
123,0.07121927479517283,0.29235,0.9890662435406382,0.9694349733022503,0.9700686169658368,0.8964940053016792,0.9329644893019647,0.0003,0.33,128,0.3
124,0.07167800160388078,0.2925,0.9890662435406382,0.9694349733022503,0.9703677467220243,0.8953373506591537,0.9323861619807019,0.0003,0.33,128,0.3
125,0.07185031051895921,0.291225,0.9878276375131079,0.968958927755138,0.9696187046665571,0.8954257266725786,0.9321923272138584,0.0003,0.33,128,0.3
126,0.07185766356290293,0.29585,0.9890662435406382,0.9689507704907647,0.9662817485340962,0.8965147013406851,0.9327327359157249,0.0003,0.33,128,0.3
127,0.0713097523465232,0.288075,0.9890662435406382,0.9701822272224084,0.9705867770345452,0.8956573596653653,0.9329197934438869,0.0003,0.33,128,0.3
128,0.07067179260273128,0.29465,0.9878276375131079,0.968958927755138,0.9665614733579152,0.8951461994305014,0.9320525635928197,0.0003,0.33,128,0.3
129,0.07007442153943336,0.2922,1.0,0.9707442979443206,0.9681647400800273,0.8948910101795988,0.9328176540619597,0.0003,0.33,128,0.3
130,0.07016545799120794,0.29305,0.9890662435406382,0.9694349733022503,0.9669785816509124,0.8957230693630803,0.9325790213326652,0.0003,0.33,128,0.3
131,0.07171697106405692,0.2926,1.0,0.9707442979443206,0.9713013568297141,0.8952936035834036,0.9330189507638621,0.0003,0.33,128,0.3
132,0.07001263495300615,0.294325,0.9890662435406382,0.9694349733022503,0.9671688518199786,0.8966906967525125,0.9330628350273813,0.0003,0.33,128,0.3
133,0.06909718285117261,0.294925,0.9890662435406382,0.9701822272224084,0.9677564141419024,0.8966278458648371,0.9334050365436228,0.0003,0.33,128,0.3
134,0.07074869243231484,0.290675,0.9890662435406382,0.9691702234287178,0.9667862495541422,0.8951396247148273,0.9321549240717726,0.0003,0.33,128,0.3
135,0.06970222923634155,0.296275,0.9890662435406382,0.9697626983157988,0.9671453862988035,0.8953261971585604,0.9325444477371796,0.0003,0.33,128,0.3
136,0.07026037722132275,0.294475,0.9821678112721227,0.9591724276215243,0.9625091334111425,0.8949908062852474,0.9270816169533859,0.0003,0.33,128,0.3
137,0.07090286631334032,0.29285,0.9890662435406382,0.9697626983157988,0.9704185676819375,0.8947071796207395,0.9322349389682691,0.0003,0.33,128,0.3
138,0.0704670418093648,0.2852,0.9890662435406382,0.9697626983157988,0.9702026176074454,0.8945610533424757,0.9321618758291372,0.0003,0.33,128,0.3
139,0.06862163998581354,0.292875,0.9890662435406382,0.9697626983157988,0.9703532798703989,0.8950086805404767,0.9323856894281377,0.0003,0.33,128,0.3
140,0.06847293939263961,0.284175,0.985868324780266,0.9615738076819005,0.9649843721954501,0.8941795383466224,0.9278766730142615,0.0003,0.33,128,0.3
141,0.0692772551187294,0.289975,0.976893881053746,0.9622831968582792,0.96145554633715,0.8946519113613951,0.9284675541098372,0.0003,0.33,128,0.3
142,0.06966074565559417,0.288725,0.9878276375131079,0.9628452675801913,0.9653279933994696,0.8940803259034475,0.9284627967418194,0.0003,0.33,128,0.3
143,0.06801911991034652,0.295525,0.985868324780266,0.9615738076819005,0.9643577380647547,0.8944155184491351,0.9279946630655178,0.0003,0.33,128,0.3
144,0.07063003744459263,0.288925,0.985868324780266,0.9615738076819005,0.9648486322714879,0.8934250994777915,0.927499453579846,0.0003,0.33,128,0.3
145,0.06921672712215628,0.29245,0.9878276375131079,0.9628452675801913,0.9620556367258206,0.8940675900791353,0.9284564288296633,0.0003,0.33,128,0.3
146,0.0678696440318108,0.2911,0.985868324780266,0.9670949929697663,0.9650842493154574,0.8937957883015633,0.9304453906356648,0.0003,0.33,128,0.3
147,0.06789251505047803,0.2925,0.9878276375131079,0.9628452675801913,0.9659080460954025,0.8942115646472955,0.9285284161137434,0.0003,0.33,128,0.3
148,0.0687387784297931,0.29685,0.9878276375131079,0.9628452675801913,0.9657207855855161,0.893138946223424,0.9279921069018077,0.0003,0.33,128,0.3
149,0.06841816877317318,0.292125,0.9890662435406382,0.9689507704907647,0.9661049064225419,0.8929732841462419,0.9309620273185033,0.0003,0.33,128,0.3
150,0.06827350696201401,0.2967,0.9890662435406382,0.9694349733022503,0.9701151984005993,0.8941266098354814,0.9317807915688658,0.0003,0.33,128,0.3
151,0.06798364526104192,0.2989,0.985868324780266,0.9615738076819005,0.9647326485835099,0.8940732845800454,0.927823546130973,0.0003,0.33,128,0.3
152,0.06901288574436278,0.295575,0.9890662435406382,0.9689507704907647,0.9663530253560049,0.8941835542360005,0.9315671623633826,0.0003,0.33,128,0.3
153,0.06792453143180908,0.29745,0.9890662435406382,0.9697626983157988,0.9701638344108177,0.8940508293709278,0.9319067638433634,0.0003,0.33,128,0.3
154,0.06766935569762542,0.294075,0.9890662435406382,0.9694349733022503,0.9665690428880616,0.8942793654056135,0.9318571693539319,0.0003,0.33,128,0.3
155,0.06807354456243872,0.2946,0.9890662435406382,0.9697626983157988,0.9670222497228682,0.8937876832669023,0.9317751907913505,0.0003,0.33,128,0.3
156,0.06850615320491604,0.302775,0.9878276375131079,0.9628452675801913,0.9648798068374069,0.8939948966341549,0.9284200821071731,0.0003,0.33,128,0.3
157,0.06826892783838592,0.296875,0.9890662435406382,0.9636490381408521,0.9666605029665354,0.8938844451549277,0.92876674164789,0.0003,0.33,128,0.3
158,0.0679867695346563,0.297275,0.9890662435406382,0.9694349733022503,0.9667841682530686,0.8939970463637319,0.9317160098329911,0.0003,0.33,128,0.3
159,0.06748412922477948,0.2979,0.9878276375131079,0.9628452675801913,0.9653825236445737,0.8936410232442631,0.9282431454122272,0.0003,0.33,128,0.3
160,0.0665959197585486,0.28945,0.9890662435406382,0.9697626983157988,0.9702954311060021,0.8934657522189713,0.931614225267385,0.0003,0.33,128,0.3
161,0.06886657385562742,0.292,0.9890662435406382,0.9697626983157988,0.9673058216099117,0.8933098806229134,0.9315362894693561,0.0003,0.33,128,0.3
162,0.06812246375387333,0.29575,0.9878276375131079,0.9628452675801913,0.9657920624074245,0.8930962759977275,0.9279707717889594,0.0003,0.33,128,0.3
163,0.06864718543220517,0.293475,0.985868324780266,0.9670949929697663,0.9652786627133013,0.8931729089402443,0.9301339509550053,0.0003,0.33,128,0.3
164,0.06705880616717093,0.29595,0.9890662435406382,0.9691702234287178,0.9665124507152534,0.8937024297392862,0.931436326584002,0.0003,0.33,128,0.3
165,0.06737868194631555,0.292675,1.0,0.9707442979443206,0.9710197983598161,0.8923895788749314,0.931566938409626,0.0003,0.33,128,0.3
166,0.067228933111108,0.302475,0.9890662435406382,0.9697626983157988,0.9669428642818233,0.8933043644773317,0.9315335313965653,0.0003,0.33,128,0.3
167,0.06801308729787661,0.2994,0.9890662435406382,0.9694349733022503,0.9668428417269503,0.8933555597671141,0.9313952665346822,0.0003,0.33,128,0.3
168,0.06551331155856065,0.304625,0.9890662435406382,0.9636490381408521,0.9664651338375125,0.894145440767018,0.928897239453935,0.0003,0.33,128,0.3
169,0.0664834019573341,0.29645,0.9890662435406382,0.9636490381408521,0.9663412967733374,0.8931802270798462,0.9284146326103492,0.0003,0.33,128,0.3
170,0.06743660167029393,0.299925,0.9890662435406382,0.9697626983157988,0.9673058216099117,0.8923373457247225,0.9310500220202607,0.0003,0.33,128,0.3
171,0.06741114012148214,0.3006,0.9890662435406382,0.9689507704907647,0.9664761619319401,0.8927255068066235,0.9308381386486941,0.0003,0.33,128,0.3
172,0.06804954181441313,0.303475,0.9890662435406382,0.9689507704907647,0.9665215692862493,0.8904320573915636,0.9296914139411642,0.0003,0.33,128,0.3
173,0.06647700530294004,0.299125,0.976893881053746,0.9622831968582792,0.9617364692768955,0.8923859627040728,0.9273345797811761,0.0003,0.33,128,0.3
174,0.06687927467132354,0.300275,0.976893881053746,0.9622831968582792,0.9620180277467935,0.8926511337932914,0.9274671653257853,0.0003,0.33,128,0.3
175,0.0660169702716695,0.303175,0.9890662435406382,0.9694349733022503,0.9669873112088473,0.8922404153260335,0.9308376943141419,0.0003,0.33,128,0.3
176,0.0661729780921943,0.306975,0.985868324780266,0.9615738076819005,0.9645728634297617,0.8921383237743542,0.9268560657281273,0.0003,0.33,128,0.3
177,0.06550450886976884,0.3032,0.9890662435406382,0.9697626983157988,0.9672345447880031,0.8919605052826516,0.9308616017992252,0.0003,0.33,128,0.3
178,0.06521361813380001,0.29825,0.9878276375131079,0.9628452675801913,0.9653825236445737,0.8914381079639071,0.9271416877720492,0.0003,0.33,128,0.3
179,0.06704762365005035,0.2991,0.9749345683209042,0.9610117369599884,0.9609139070568096,0.8911533836703323,0.9260825603151603,0.0003,0.33,128,0.3
180,0.06726279153491461,0.3016,0.9890662435406382,0.9697626983157988,0.9670660008577586,0.8910532360357242,0.9304079671757615,0.0003,0.33,128,0.3
181,0.06713222474516936,0.3015,0.9890662435406382,0.9636490381408521,0.9661608499833059,0.8921871348681887,0.9279180865045205,0.0003,0.33,128,0.3
182,0.06776990829061554,0.303325,0.9890662435406382,0.9694349733022503,0.967067740140112,0.8917883725579996,0.9306116729301249,0.0003,0.33,128,0.3
183,0.06643006642394744,0.3052,0.9890662435406382,0.9694349733022503,0.967147125581157,0.8928519354096838,0.931143454355967,0.0003,0.33,128,0.3
